"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Negative: Attempt to create a quote without customer name","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteNegativeTest","tests.CreateQuoteNegativeTest","shouldReturnErrorWhenCustomerIsMissing"
"","3713","Contract: Validate CreateQuoteResponse payload against JSON Schema","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteContractTest","tests.CreateQuoteContractTest","shouldValidateCreateQuoteJsonSchema"
"","39","Successfully create a new quote with one item for a customer","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","ac1_shouldCreateQuoteWithSingleItemWithoutDiscount"
"","453","Successfully create a new quote with one item with discount for a customer","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","ac2_shouldCreateQuoteWithSingleItemWithDiscount"
"","212","Negative: Attempt to create a quote without items","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteNegativeTest","tests.CreateQuoteNegativeTest","shouldReturnErrorWhenItemsListIsEmpty"
"","187","Happy Path: Create quote with multiple items and mixed discounts","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","shouldCreateQuoteWithMultipleItemsAndMixedDiscounts"
"","42","AC3: Successfully create a new quote with two items for a customer","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","ac3_shouldCreateQuoteWithMultipleItems"
"","46","HealthCheck: Success verify endpoint","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","shouldVerifyHealthCheck"
