"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Quotes Management API","0","Create Quote Scenarios","1","0","Happy Path - Multiple items with mixed discounts","0"
"0","Quotes Management API","0","Create Quote Scenarios","1","0","AC3 - Two items for a customer","0"
"0","Quotes Management API","0","Create Quote Scenarios","1","0","AC1 - Successfully create a new quote with one item without discount","0"
"0","Quotes Management","0","Contract Validation","1","0","Contract - Validate CreateQuoteResponse JSON Schema","0"
"0","","0","","2","0","","0"
"0","Quotes Management API","0","Create Quote Scenarios","1","0","","0"
"0","Quotes Management API","0","Create Quote Scenarios","1","0","AC2 - Single item with discount","0"
