"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","Happy Path: Create quote with multiple items and mixed discounts","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","shouldCreateQuoteWithMultipleItemsAndMixedDiscounts"
"","40","AC1: Successfully create a new quote with one item for a customer","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","ac1_shouldCreateQuoteWithSingleItemWithoutDiscount"
"","186","Negative: Attempt to create a quote without items","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteNegativeTest","tests.CreateQuoteNegativeTest","shouldReturnErrorWhenItemsListIsEmpty"
"","31","Negative: Attempt to create a quote without customer name","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteNegativeTest","tests.CreateQuoteNegativeTest","shouldReturnErrorWhenCustomerIsMissing"
"","3000","Contract: Validate CreateQuoteResponse payload against JSON Schema","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteContractTest","tests.CreateQuoteContractTest","shouldValidateCreateQuoteJsonSchema"
"","382","AC2: Successfully create a new quote with one item with discount for a customer","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","ac2_shouldCreateQuoteWithSingleItemWithDiscount"
"","37","AC3: Successfully create a new quote with two items for a customer","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","ac3_shouldCreateQuoteWithMultipleItems"
"","33","HealthCheck: Success verify endpoint","","2026-09-25","passed","2026-09-25","","tests.CreateQuoteHappyPathTest","tests.CreateQuoteHappyPathTest","shouldVerifyHealthCheck"
